null,References,Value,Footprint,Quantity,
1,"C2, C4, C5, C8, C9, C15, C16, C30, C31, C32, C33, C34, C35",1uF,C_0603,13,
2,"C1, C3, C11, C19, C20, C21, C22, C23, C28, C29, C36",100nF,C_0603,11,
3,"C10, C12, C13, C14, C17, C18",10uF,C_0603,6,
4,"C24, C25",DNP,C_0603,2,
5,"C26, C27",10pF,C_0603,2,
6,C6,470uF/50V,CP_Elec_8x10.5,1,
7,C7,100uF,CP_Elec_6.3x7.7,1,
8,"R2, R3, R7, R13, R25, R26, R27, R31, R33, R34",10K,R_0603,10,
9,"R1, R4, R5, R30, R32",10R,R_0603,5,
10,"R6, R8, R12, R24",1K,R_0603,4,
11,"R14, R15",1K2,R_0603,2,
12,"R16, R23",100R,R_0603,2,
13,"R17, R19",560K,R_0603,2,
14,"R18, R20",100K,R_0603,2,
15,"R28, R29",5K1,R_0603,2,
16,R21,20K,R_0603,1,https://www.thegioiic.com/dien-tro-20-kohm-0603-1-
17,R22,2K7,R_0603,1,
18,L1,68uH,L_12x12mm_H8mm,1,
19,L2,2.2uH,L_Bourns_SRN6045TA,1,
20,L3,22uH,L_Bourns_SRN6045TA,1,
21,L4,2.2nH,L_0603,1,
22,"D1, D5",SS34,D_SMA,2,
23,D2,Z12V,D_MiniMELF,1,
24,D3,LED_Dual_AKAK,LED_HOUSING_LH32K051F,1,
25,U1,RAK3172,RAK3172,1,
26,U2,MAX232,SOIC-16-4x10-P1.27,1,
27,U3,BQ24075RGT,VQFN-16_3x3_PAD-VIAS,1,
28,U4,XL1509-5.0,SOIC-8,1,
29,U5,TPS63000,DRC-0010J,1,
30,U6,MT3608,SOT23-6,1,
31,U7,DW01A,SOT23-6,1,
32,U8,FS8205A,TSSOP-8_4.4x3mm_P0.65mm,1,
33,U9,ESP32-C3,QFN-32_5x5_PAD-VIAS,1,
34,U10,USBLC6-2SC6,SOT23-6,1,
35,Y1,40MHz,Crystal_3225_4P_1-4,1,
36,SW1,RAK-RESET,Switch_Tactile_6x6_Horizontal,1,
37,SW2,ESP-RESET,SW_SPST_CK,1,
38,SW3,ESP-BOOT,SW_SPST_CK,1,
39,SW4,USER_BTN,Switch_Tactile_6x6_Horizontal,1,
40,"Q1, Q3",SI2300,SOT23-3,2,
41,"Q2, Q4",SI2301,SOT23-3,2,
42,AE1,2.4GHz,Texas_SWRA117D_2.4GHz_Right,1,
43,BT1,Battery_18650,XH_2P_2.54mm_Vertical,1,
44,Q5,APM4015P,TO-252-2,1,
45,J1,RAK_DEBUG,PinHeader_2x04_P2.54mm_Vertical,1,
46,J3,CONN_PWRIN,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",1,
47,J4,CONN_ESP_PROG,XH_6P_2.54mm_Vertical,1,
48,J5,USB_C_Receptacle_USB2.0_16P,USB-C_SMD_1,1,
49,J6,CONN_RS232,"PhoenixContact_MC_1,5_4-G-3.81_1x04_P3.81mm_Horizontal",1,
