null,References,Value,Footprint,Quantity,Links
1,"C1, C3, C4, C11, C16, C19, C20, C21, C22, C23, C28, C29",100nF,C_0603,12,https://www.thegioiic.com/tu-gom-0603-100nf-0-1uf-50v
2,"C2, C5, C8, C9, C15, C30, C31, C32, C33",1uF,C_0603,9,https://www.thegioiic.com/tu-gom-0603-1uf-25v
3,"C10, C12, C13, C14, C34, C35",10uF,C_0603,6,https://www.thegioiic.com/tu-gom-0603-10uf-25v
4,"C24, C25",DNP,C_0603,2,
5,"C26, C27",10pF,C_0603,2,https://www.thegioiic.com/tu-gom-0603-10pf-50v
6,C6,470uF/50V,CP_Elec_8x10.5,1,https://www.thegioiic.com/tu-nhom-smd-220uf-35v-8x10-5mm
7,C7,100uF,C_Elec_6.3x7.7,1,https://www.thegioiic.com/tu-nhom-smd-100uf-25v-6-3x7-7mm
8,"R2, R3, R13, R22, R25, R26, R27, R31, R36, R37",10K,R_0603,10,https://www.thegioiic.com/dien-tro-10-kohm-0603-1-
9,"R1, R4, R5, R6, R7, R30, R35, R38",10R,R_0603,8,https://www.thegioiic.com/dien-tro-10-ohm-0603-1-
10,"R12, R21, R24, R32",1K,R_0603,4,https://www.thegioiic.com/dien-tro-1-kohm-0603-1-
11,"R8, R9, R10",4K7,R_0603,3,https://www.thegioiic.com/dien-tro-4-7-kohm-0603-1-
12,"R14, R15",1K2,R_0603,2,https://www.thegioiic.com/dien-tro-1-2-kohm-0603-1-
13,"R16, R23",100R,R_0603,2,https://www.thegioiic.com/dien-tro-100-ohm-0603-1-
14,"R17, R19",560K,R_0603,2,https://www.thegioiic.com/dien-tro-560-kohm-0603-1-
15,"R18, R20",100K,R_0603,2,https://www.thegioiic.com/dien-tro-100-kohm-0603-1-
16,"R28, R29",5K1,R_0603,2,https://www.thegioiic.com/dien-tro-5-6-kohm-0603-1-
17,R11,120R,R_0603,1,https://www.thegioiic.com/dien-tro-120-ohm-0603-1-
18,R39,51K,R_0603,1,https://www.thegioiic.com/dien-tro-56-kohm-0603-1-
